person,cause_short,date,dept_name,state
Sergeant Gilbert J. Mast,Vehicular assault,1996-01-20,Tulane University Police Department, LA
Deputy Sheriff Stephen C. Newitt,Motorcycle accident,1996-01-24,Jefferson Parish Sheriff's Office, LA
Border Patrol Agent Aurelio Esparz Valencia,Automobile accident,1996-01-26,United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US
Deputy Sheriff Barton Joseph Granier,Gunfire,1996-01-27,St. John the Baptist Parish Sheriff's Office, LA
Police Officer Brian David Klinefelter,Gunfire,1996-01-29,St. Joseph Police Department, MN
Patrol Officer Vincent A. Julia,Automobile accident,1996-02-09,Delaware River and Bay Authority Police Department, DE
Patrol Officer Christopher Bruce Anderson,Gunfire,1996-02-12,Hot Springs Police Department, AR
Sergeant Timothy Clyde Minor,Motorcycle accident,1996-02-12,Charles County Sheriff's Office, MD
Deputy Sheriff Brett C. Dickey,Gunfire,1996-02-13,Gilmer County Sheriff's Office, GA
Officer David Wayne Manning,Motorcycle accident,1996-02-15,California Highway Patrol, CA
Sergeant Randy Vincent Sullivan,Automobile accident,1996-02-17,Missouri State Highway Patrol, MO
Police Officer Charles Oddo,Vehicular assault,1996-02-17,New York City Police Department, NY
Investigator Bob W. Smith,Heart attack,1996-02-18,Oakdale Police Department, LA
Deputy Scott Harry Smith,Automobile accident,1996-02-20,Habersham County Sheriff's Office, GA
Deputy Sheriff Rudy M. Gonzales,Automobile accident,1996-02-25,Lubbock County Sheriff's Department, TX
Trooper Willis Von Moore,Automobile accident,1996-02-26,Alabama Department of Public Safety, AL
"Sergeant Charles B. Kubala, Sr.",Gunfire,1996-02-26,Sumter County Sheriff's Office, SC
Police Officer Derrik Lanier,Gunfire,1996-03-02,Cuyahoga Metro Housing Authority Police Department, OH
Police Reserve Robert Bernie McMaster,Automobile accident,1996-03-09,Warrenton Police Department, OR
"Police Officer II James Rex Jensen, Jr.",Gunfire (Accidental),1996-03-13,Oxnard Police Department, CA
Police Officer Kevin J. Gillespie,Gunfire,1996-03-14,New York City Police Department, NY
"Police Officer I Carmen J. ""Skip"" Renda, Jr.",Heart attack,1996-03-16,Youngstown State University Police Department, OH
Senior Patrol Officer Keith Allen Braddock,Gunfire,1996-03-20,Watford City Police Department, ND
Police Officer Michael R. Frey,Gunfire,1996-03-21,Eastchester Police Department, NY
"Special Agent Charles L. ""Chuck"" Reed",Gunfire,1996-03-22,United States Department of Justice - Federal Bureau of Investigation, US
Police Officer Dell Fountain,Gunfire,1996-03-23,Chicago Police Department, IL
Police Officer Ivan Fontanez-Bruno,Gunfire,1996-03-24,Puerto Rico Police Department, PR
Police Officer Keith Tadashi Hashimoto,Training accident,1996-03-29,Reno Police Department, NV
"Senior Agent Leon Henderson, Jr.",Automobile accident,1996-03-30,Louisiana Department of Wildlife and Fisheries, LA
Investigator II Michael Anton Shepherd,Heart attack,1996-04-02,Los Angeles County Department of Coroner, CA
Special Agent Duane R. Christian,Aircraft accident,1996-04-03,United States Department of Commerce - Office of Security, US
Lieutenant Charles Matthew Turner,Aircraft accident,1996-04-04,West Virginia State Police, WV
Trooper Sandra Marie Wagner,Automobile accident,1996-04-05,Delaware State Police, DE
Patrolman James H. Collins,Heart attack,1996-04-10,Farmington Police Department, AR
"Trooper James A. ""Drew"" Griffith",Automobile accident,1996-04-15,Maine State Police, ME
Patrolman Damon Franklin Smith,Gunfire,1996-04-15,Oakboro Police Department, NC
Detective Charles A. Schuta,Vehicle pursuit,1996-04-15,Pelham Manor Police Department, NY
Deputy Stacia Suzanne Alyea,Vehicle pursuit,1996-04-18,Shelby County Sheriff's Department, IN
"Police Officer Robert Lee Fisher, Jr.",Gunfire,1996-04-19,Teaneck Police Department, NJ
Deputy Jailer Deadrick A. Taylor,Gunfire,1996-04-19,Shelby County Sheriff's Office, TN
Deputy Sheriff John Warren Liebenstein,Vehicle pursuit,1996-05-03,Rice County Sheriff's Department, MN
Police Officer Dennis Larry Carder,Fall,1996-05-09,Atlanta Police Department, GA
Police Officer Daniel T. Fraembs,Gunfire,1996-05-11,Pomona Police Department, CA
Police Officer Thomas B. Toohey,Heart attack,1996-05-15,Hartford Police Department, CT
Police Officer Francis Paul Scurry,Gunfire,1996-05-17,Metro Nashville Police Department, TN
Detective Harvey Davis,Heart attack,1996-05-21,Harris County Sheriff's Office, TX
Detective Terry Lee Fincher,Struck by train,1996-05-22,Brea Police Department, CA
Police Officer Vincent Guidice,Assault,1996-05-22,New York City Police Department, NY
Trooper II Francis J. Bellaran,Vehicle pursuit,1996-05-23,New Jersey State Police, NJ
Police Officer Jason K. Grossnickle,Gunfire,1996-05-23,Dayton Police Department, OH
Sergeant Tom Anderson Sitton,Gunfire,1996-05-24,Nacogdoches County Sheriff's Office, TX
Deputy Sheriff John Joseph Creegan,Vehicular assault,1996-05-29,Orange County Sheriff's Office, FL
Correctional Instructor Roger C. Sorensen,Drowned,1996-05-29,North Dakota Youth Correctional Center, ND
Sergeant Daniel Aaron Smith,Automobile accident,1996-05-31,Winchester Police Department, TN
Officer Anthony W. Simms,Vehicular assault,1996-06-03,Metropolitan Police Department, DC
Lieutenant Delavan Lewis Dixon,Heart attack,1996-06-04,Rawlins Police Department, WY
"Chief of Police James F. ""Fred"" Pfeister",Vehicular assault,1996-06-08,Cresson Borough Police Department, PA
"Senior Patrol Officer Dick Vernon Hobson, Jr.",Gunfire,1996-06-10,Tulsa Police Department, OK
Deputy Sheriff Raymond Warner,Gunfire,1996-06-13,Brevard County Sheriff's Office, FL
Police Officer Pauline Harness,Fall,1996-06-19,Philadelphia Police Department, PA
Sheriff Harold Lloyd Strider,Heart attack,1996-06-23,Grenada County Sheriff's Department, MS
Lance Corporal Randall Scott Hewitt,Automobile accident,1996-06-23,South Carolina Highway Patrol, SC
Deputy Eric Shane Stafford,Automobile accident,1996-06-26,Edmonson County Sheriff's Office, KY
Officer Don Joseph Burt,Gunfire,1996-07-13,California Highway Patrol, CA
Deputy Sheriff Luther Frederick Klug,Vehicular assault,1996-07-16,Dakota County Sheriff's Office, MN
"Deputy Sheriff Peter John Aguirre, Jr.",Gunfire,1996-07-17,Ventura County Sheriff's Office, CA
"Police Officer Chris D. McCormick, Sr.",Gunfire,1996-07-17,New Orleans Police Department, LA
Detective Joseph C. Thomas,Gunfire,1996-07-18,New Orleans Police Department, LA
Agent Victor Luis Colon-Brunet,Gunfire,1996-07-18,Puerto Rico Police Department, PR
Deputy Marshal II Victor M. Andorno-Torres,Gunfire,1996-07-18,Puerto Rico Commonwealth Marshal's Office, PR
Deputy Marshal II Pascual Gomez-Lopez,Gunfire,1996-07-18,Puerto Rico Commonwealth Marshal's Office, PR
Patrol Officer Brian Craig Roshong,Gunfire,1996-07-22,Canton Police Department, OH
Deputy Douglas John Noll,Vehicle pursuit,1996-07-22,Harris County Sheriff's Office, TX
"Park Ranger James Randall ""Randy"" Morgenson",Drowned,1996-07-23,United States Department of the Interior - National Park Service, US
Patrolwoman Sherry Hopper Goodman,Gunfire,1996-07-26,Shelby County Sheriff's Office, TN
Correctional Officer Alfredo Deon Williams,Automobile accident,1996-07-30,United States Department of Justice - Federal Bureau of Prisons, US
Sergeant Douglas Duane Springer,Heart attack,1996-08-01,Coldwater Police Department, OH
Investigator Joey Dean Little,Automobile accident,1996-08-07,Placentia Police Department, CA
Trooper Damion Cortez Roberts,Automobile accident,1996-08-07,North Carolina Highway Patrol, NC
Youth Counselor Ineasie Maxie Baker,Assault,1996-08-09,California Department of the Youth Authority, CA
Police Officer Miguel A. Ocasio-Vazquez,Gunfire,1996-08-09,Puerto Rico Police Department, PR
Detective John Cousin,Gunfire,1996-08-15,Philadelphia Police Department, PA
Probation Officer David Glen Seymour,Gunfire (Accidental),1996-08-26,Louisiana Department of Corrections, LA
Seasonal Park Ranger Michael A. Beaulieu,Automobile accident,1996-08-26,United States Department of the Interior - National Park Service, US
Captain Charles Welch Lane,Fall,1996-09-02,Navajo County Sheriff's Office, AZ
Police Officer Wendolyn Odell Tanner,Gunfire,1996-09-07,Milwaukee Police Department, WI
Sergeant Severo Firpi-Solis,Gunfire (Accidental),1996-09-10,Puerto Rico Police Department, PR
Corporal Richard G. Parquette,Gunfire,1996-09-10,Bayfield County Sheriff's Department, WI
Detective George Wayman Hester,Gunfire,1996-09-12,Ocilla Police Department, GA
Deputy Sheriff Lonny Lee Lindsey,Gunfire,1996-09-17,Holmes County Sheriff's Office, FL
Police Officer James Russell Sorrow,Gunfire,1996-09-19,Greenville Police Department, SC
Deputy Anthony Olson,Automobile accident,1996-09-24,Monterey County Sheriff's Department, CA
Officer Charles Craig Greenwald,Gunfire,1996-09-26,Mobile Court Police Department, AL
Patrolman Raymond Chandler,Automobile accident,1996-09-30,Monroeville Police Department, AL
Agent Wilfredo Luis Berenguer-Calderon,Automobile accident,1996-10-01,Puerto Rico Police Department, PR
Agent Hector R. Melendez-Rosa,Automobile accident,1996-10-01,Puerto Rico Police Department, PR
Agent Roberto Luis Batista-Rosario,Automobile accident,1996-10-01,Puerto Rico Police Department, PR
Corrections Sergeant Timothy Parsley,Heart attack,1996-10-01,Texas Department of Criminal Justice, TX
Deputy Sheriff James Lee Clarius,Gunfire,1996-10-05,Jefferson Parish Sheriff's Office, LA
Patrol Sergeant Gregory Keith Martin,Gunfire,1996-10-05,Jonesville Police Department, NC
Sergeant Paul Lawrence Cole,Automobile accident,1996-10-06,Ingham County Sheriff's Office, MI
Sergeant Carlton Patrick Pope,Vehicle pursuit,1996-10-09,Fountain Inn Police Department, SC
Police Officer Karl Duane Simons,Automobile accident,1996-10-13,Long Beach Police Department, CA
Police Officer Brian R. Jones,Gunfire,1996-10-13,New York City Police Department, NY
Sergeant James Ward,Heart attack,1996-10-17,Jacksonville Sheriff's Office, FL
Patrolman Anthony R. Samfay,Gunfire,1996-10-17,Kankakee City Police Department, IL
Lieutenant Federico Narvaez,Gunfire,1996-10-18,New York City Police Department, NY
Senior Patrol Officer Dan Richard Seely,Gunfire,1996-10-26,Anchorage Police Department, AK
"Officer Reuben Fred Rios, Sr.",Vehicular assault,1996-10-26,California Highway Patrol, CA
Patrolman Trevor Raymond Staszak,Vehicular assault,1996-10-26,Buena Vista Police Department, CO
Patrolman Gary Joe Bryant,Gunfire,1996-10-27,Giddings Police Department, TX
Lieutenant Duane M. Guhl,Struck by train,1996-10-30,Fulton County Sheriff's Office, OH
Officer Noreen Allison Vargas,Automobile accident,1996-11-08,California Highway Patrol, CA
Officer James Douglas Schultz,Struck by vehicle,1996-11-15,California Highway Patrol, CA
Investigator Michael A. Padula,Stabbed,1996-11-17,Ithaca Police Department, NY
Detective Charles Dewane Swanson,Heart attack,1996-11-20,Eureka Police Department, CA
Field Deputy Christopher Lee Castetter,Gunfire,1996-11-28,Barry County Sheriff's Office, MO
Policeman Miguel Angel Santiago-Garayua,Vehicular assault,1996-12-12,Puerto Rico Police Department, PR
Border Patrol Agent Michael Wayne Barnes,Heart attack,1996-12-12,United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US
Trooper II Gregory Patton Fleenor,Automobile accident,1996-12-12,Virginia State Police, VA
Corporal Owen Patrick McClinton,Motorcycle accident,1996-12-13,Mobile Police Department, AL
Reserve Deputy Donald Rex Mitchell,Heart attack,1996-12-14,Moore County Sheriff's Office, TX
Deputy Sheriff Durwin Lynn Potts,Vehicular assault,1996-12-21,Whitfield County Sheriff's Office, GA
Police Officer Charles A. Davis,Gunfire,1996-12-21,New York City Police Department, NY
Deputy Sheriff Randolph Michael Eng,Gunfire,1996-12-21,Harris County Sheriff's Office, TX
"Police Officer II Mario Navidad, Jr.",Gunfire,1996-12-22,Los Angeles Police Department, CA
Patrol Officer Edward Claybrooks,Heart attack,1996-12-28,Cleveland Police Department, OH
Patrol Officer Hilary S. Cudnik,Gunfire,1996-12-30,Cleveland Police Department, OH
Correction Counselor Kevin P. McGuire,Vehicular assault,1996-12-31,Illinois Department of Corrections, IL
"Corporal Amos Williams, Jr.",Gunfire,1996-12-31,District of Columbia Department of Corrections, DC
Deputy Sheriff Michael Paul Haugen,Gunfire,1997-01-05,Riverside County Sheriff's Department, CA
"Deputy Sheriff James Warren Lehmann, Jr.",Gunfire,1997-01-05,Riverside County Sheriff's Department, CA
Trooper Bruce Alan Heck,Assault,1997-01-10,Alaska State Troopers, AK
Police Officer Pedro E. Mercado-Alvira,Gunfire,1997-01-16,Puerto Rico Police Department, PR
Deputy Sheriff Henry Lloyd Brooks,Vehicular assault,1997-01-18,Jefferson County Sheriff's Office, AL
Deputy Sheriff William Dean Inman,Aircraft accident,1997-01-18,Lemhi County Sheriff's Department, ID
Chief of Police Bobby Spencer,Gunfire,1997-01-18,Shannon Police Department, MS
Trooper James Brian Malloy,Heart attack,1997-01-23,Massachusetts State Police, MA
Deputy Sheriff I David Michael Demos,Vehicular assault,1997-01-25,Milwaukee County Sheriff's Office, WI
Special Agent Anthony S. Minetto,Gunfire,1997-01-27,United States Department of Justice - Immigration and Naturalization Service - Investigations, US
Police Officer Brian Todd Batchelder,Automobile accident,1997-01-28,Bentonville Police Department, AR
Patrolman Jimmy Martin Miller,Heart attack,1997-01-29,Hagerstown Police Department, IN
"Police Officer Willie Neal, Jr.",Gunfire (Accidental),1997-01-29,St. Louis County Police Department, MO
Police Officer II Van Derick Johnson,Motorcycle accident,1997-02-05,Los Angeles Police Department, CA
Master Patrol Officer Brian T. A. Gibson,Gunfire,1997-02-05,Metropolitan Police Department, DC
Patrol Officer Lawrence Carter Penrod,Automobile accident,1997-02-05,Spanish Fork City Police Department, UT
Police Officer Robert Vargas,Automobile accident,1997-02-07,Metro-Dade Police Department, FL
Police Officer Michael Blankenship,Gunfire,1997-02-10,Ohio State University Police Department, OH
Master Detective Aubrey Fred Johnson,Automobile accident,1997-02-11,Citrus County Sheriff's Office, FL
Corrections Officer Shirlene A. Jenkins,Heart attack,1997-02-11,Ohio Department of Rehabilitation and Correction, OH
Police Officer Vernon O. Winn,Heart attack,1997-02-12,Iberia Police Department, MO
Trooper Nathaniel Burroughs,Struck by vehicle,1997-02-14,New York State Police, NY
Corporal Richard David Barreda,Motorcycle accident,1997-02-14,Dallas / Fort Worth International Airport Police Department, TX
Police Officer Michael David Moore,Gunfire,1997-02-15,Garland Police Department, TX
Deputy Sheriff Patrick Steven Coyle,Aircraft accident,1997-02-16,San Diego County Sheriff's Department, CA
Police Officer II Samuel Anthony Redhouse,Gunfire,1997-02-17,Navajo Division of Public Safety, TR
Colonel Robert G. Black,Gunfire,1997-02-20,Rocky Ripple Police Department, IN
Deputy Sheriff Thomas W. Bourne,Gunfire,1997-02-21,Jefferson Davis County Sheriff's Department, MS
Deputy Sheriff James P. Rutland,Gunfire,1997-02-21,Jefferson Davis County Sheriff's Department, MS
Patrolman Victor Pimentel,Automobile accident,1997-02-22,Hinesville Police Department, GA
Officer Glenn Rowe Austraw,Automobile accident,1997-02-26,Pensacola Police Department, FL
"Officer Oliver Wendell Smith, Jr.",Gunfire,1997-02-26,Metropolitan Police Department, DC
Correctional Officer Eddie Mack Davis,Automobile accident,1997-02-27,Georgia Department of Corrections, GA
"Correctional Officer Carlton R. Cherry, Sr.",Automobile accident,1997-02-27,Georgia Department of Corrections, GA
Correctional Officer Wayne Herman Griglen,Automobile accident,1997-02-27,Georgia Department of Corrections, GA
Sergeant Tommie Lee Goggins,Automobile accident,1997-02-27,Georgia Department of Corrections, GA
Special Agent Harrison Dean Pulliam,Automobile accident,1997-03-02,United States Air Force Office of Special Investigations, US
"Chief of Police Virgil W. Dobbs, Jr.",Automobile accident,1997-03-04,Midland City Police Department, AL
Correctional Officer Brent W. Lumley,Assault,1997-03-07,Arizona Department of Corrections, AZ
Police Officer II Dannael James Weekes,Automobile accident,1997-03-07,Memphis Police Department, TN
"Patrol Officer Johnnie Norris Patterson, Jr.",Gunfire,1997-03-08,Winter Haven Police Department, FL
"Police Officer John Lee Butler, Sr.",Heart attack,1997-03-10,Jacksonville Sheriff's Office, FL
Deputy Sheriff Gregory Hans,Gunfire,1997-03-10,Jefferson County Sheriff's Office, KY
Senior Border Patrol Agent Miguel Javier Maldonado,Automobile accident,1997-03-10,United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US
Patrol Officer Daniel Philip Longstreet,Gunfire,1997-03-14,Higginson Police Department, AR
Police Officer Richard P. Wentlandt,Duty related illness,1997-03-15,Metro-Dade Police Department, FL
Sergeant Myron Kelly,Gunfire,1997-03-16,Osceola Police Department, AR
Captain Albert Arthur Hanes,Heart attack,1997-03-21,Hutchinson County Sheriff's Department, TX
Corporal Rufus Earle Brown,Assault,1997-03-23,Mobile Police Department, AL
Sergeant Bryan Glenn Northern,Gunfire,1997-03-23,Rocky Ripple Police Department, IN
Corporal Roel Garcia,Automobile accident,1997-03-26,Texas Department of Public Safety - Texas Highway Patrol, TX
Police Officer II Kenneth Kanani Keliipio,Vehicular assault,1997-03-27,Hawaii County Police Department, HI
Deputy Sheriff Brian E. Meilbeck,Gunfire,1997-04-01,Yuba County Sheriff's Department, CA
Police Officer Ronald Leon DeHerrera,Vehicular assault,1997-04-01,Denver Police Department, CO
Chief of Police William R. Ricketts,Automobile accident,1997-04-02,New Middletown Police Department, OH
Senior Officer Specialist Scott James Williams,Stabbed,1997-04-03,United States Department of Justice - Federal Bureau of Prisons, US
Agent Ernesto Caballero-Vega,Gunfire,1997-04-05,Puerto Rico Police Department, PR
"Police Officer Cuong Huy ""Tony"" Trinh",Gunfire,1997-04-06,Houston Police Department, TX
Police Officer Charles E. McDougald,Gunfire,1997-04-09,Buffalo Police Department, NY
Deputy Sheriff Joseph C. Rodgers,Gunfire,1997-04-09,Florence County Sheriff's Office, SC
Deputy Sheriff Joseph A. Freedman,Heart attack,1997-04-11,Suffolk County Sheriff's Department, MA
Police Officer Ismael Morales-Chico,Struck by vehicle,1997-04-14,Puerto Rico Police Department, PR
Patrolman Gary F. Dockery,Gunfire,1997-04-15,Walden Police Department, TN
Patrol Sergeant Kenneth Eugene Snider,Stabbed,1997-04-18,Sedgwick County Sheriff's Office, KS
Deputy James Clarence Harper,Gunfire,1997-04-24,Poinsett County Sheriff's Department, AR
Trooper Andrew Patrick Winzenread,Struck by vehicle,1997-04-25,Indiana State Police, IN
Patrolman Daniel E. Rice,Automobile accident,1997-04-25,Bethlehem Police Department, PA
Police Officer Henry Allen Brown,Struck by vehicle,1997-04-25,Dallas Police Department, TX
"Officer Robert L. Johnson, Jr.",Gunfire,1997-04-26,Metropolitan Police Department, DC
"Probation Officer Donald R. ""Charley"" Knepple",Gunfire,1997-04-28,Allen County Adult Probation Department, IN
Deputy Sheriff Kenneth J. Wolf,Heart attack,1997-04-29,Frontier County Sheriff's Office, NE
Deputy Sheriff William Thomas Bishop,Gunfire,1997-05-02,Fayette County Sheriff's Department, TN
Patrol Officer Vincent R. T. Arduini,Automobile accident,1997-05-04,Granby Department of Police Services, CT
"Lieutenant Frank J. Grice, Jr.",Struck by vehicle,1997-05-07,East Jefferson Levee District Police Department, LA
"Lieutenant Owen Eugene Sweeney, Jr.",Gunfire,1997-05-07,Baltimore City Police Department, MD
Officer Saul Martinez,Struck by vehicle,1997-05-15,California Highway Patrol, CA
Police Officer Anthony W. Sanchez,Gunfire,1997-05-19,New York City Police Department, NY
Sergeant David Martin Kieffer,Vehicular assault,1997-05-21,Phoenix Police Department, AZ
Deputy Sheriff Randal Eugene Jennings,Gunfire,1997-05-21,Butte County Sheriff's Office, CA
Sergeant William Earl Godwin,Automobile accident,1997-05-22,Morrisville Police Department, NC
Police Officer Charles Andrew Lazzaretto,Gunfire,1997-05-27,Glendale Police Department, CA
Officer Daniel James Muehlhausen,Automobile accident,1997-06-01,California Highway Patrol, CA
"Deputy Sheriff Franklin Jay Minnie, Sr.",Vehicle pursuit,1997-06-01,Washoe County Sheriff's Office, NV
Deputy Sheriff Edgar Allen Harrell,Heart attack,1997-06-02,Marion County Sheriff's Department, MS
Deputy Sheriff Keith Alan Fricke,Motorcycle accident,1997-06-04,Harris County Sheriff's Office, TX
Corporal Timothy Joseph Bowe,Gunfire,1997-06-07,Minnesota State Patrol, MN
"Police Officer Peter Conrad Johnson, Jr.",Fall,1997-06-08,North Harris Montgomery Community College District Police Department, TX
Border Patrol Agent Stephen C. Starch,Fall,1997-06-14,United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US
Agent Lucy Echevarria-Colon,Vehicular assault,1997-06-16,Puerto Rico Police Department, PR
Corporal Wayne Martinez,Stabbed,1997-06-26,Wyoming Department of Corrections, WY
Correctional Officer I William F. Immer,Automobile accident,1997-07-04,Alabama Department of Corrections, AL
Sergeant Edward M. Couture,Struck by vehicle,1997-07-10,Middleton Police Department, MA
Detective Paul Andrew Hale,Gunfire,1997-07-11,Raleigh Police Department, NC
Private Michael Donell Stephenson,Gunfire,1997-07-16,Richmond County Board of Education Public Safety, GA
Chief of Police Willard Wayne Hathaway,Gunfire,1997-07-18,Sharpsburg Police Department, NC
Officer Thomas Layton Jeffries,Gunfire,1997-07-21,Portland Police Bureau, OR
Trooper Robert G. Smith,Vehicular assault,1997-07-26,Florida Highway Patrol, FL
Deputy Sheriff Sean David Earp,Automobile accident,1997-07-27,Mayes County Sheriff's Office, OK
Corrections Officer Frederick W. Baker,Stabbed,1997-07-30,New Jersey Department of Corrections, NJ
Deputy Sheriff Ronald Alan Kanze,Automobile accident,1997-08-02,Sebastian County Sheriff's Office, AR
"Patrolman William P. Bosworth, Jr.",Automobile accident,1997-08-05,Andover Township Police Department, NJ
Sheriff Michael L. McKee,Gunfire,1997-08-09,Kemper County Sheriff's Department, MS
Sergeant Charles Lanny Bridges,Gunfire,1997-08-14,Covington Police Department, TN
Police Officer Eryk Todd Heck,Gunfire,1997-08-15,Allen County Sheriff's Department, IN
Deputy Sheriff Shayne Daniel York,Gunfire,1997-08-16,Los Angeles County Sheriff's Department, CA
Trooper Scott Edward Phillips,Gunfire,1997-08-19,New Hampshire State Police, NH
Trooper Leslie George Lord,Gunfire,1997-08-19,New Hampshire State Police, NH
Police Officer Jason D. Conklin,Automobile accident,1997-08-21,Tuxedo Park Village Police Department, NY
Corporal Paul Richard Deguch,Gunfire,1997-08-24,South Bend Police Department, IN
Deputy Sheriff William Wolfe,Heart attack,1997-08-24,Ravalli County Sheriff's Department, MT
Patrolman Jeremy T. Charron,Gunfire,1997-08-24,Epsom Police Department, NH
Police Officer David C. Evans,Automobile accident,1997-08-25,Chicago Police Department, IL
Police Officer William Francis Lowry,Gunfire,1997-08-28,Tacoma Police Department, WA
Patrolman Eric James Johnson,Automobile accident,1997-08-31,Howard City Police Department, MI
Sergeant James Dallas Rector,Automobile accident,1997-09-02,Oregon State Police, OR
Trooper Scott Alan Lyons,Automobile accident,1997-09-02,Oregon State Police, OR
Sheriff Coleman Binion,Struck by vehicle,1997-09-05,Carter County Sheriff's Department, KY
Officer Jim Wilkinson,Heart attack,1997-09-06,Rich Hill Police Department, MO
Deputy Sheriff Jeffrey Sean Isaac,Automobile accident,1997-09-08,Fresno County Sheriff's Department, CA
Corrections Officer Paul B. Beridon,Automobile accident,1997-09-11,California Department of Corrections and Rehabilitation, CA
Corrections Officer Mylene G. Zalar,Automobile accident,1997-09-11,California Department of Corrections and Rehabilitation, CA
Deputy Coroner William Morgan Belcher,Struck by vehicle,1997-09-12,McLean County Coroner's Office, IL
Investigator Thomas Jay Smith,Aircraft accident,1997-09-17,Tarrant County Sheriff's Department, TX
"Lieutenant George Maurice Hendrix, Jr.",Aircraft accident,1997-09-17,Tarrant County Sheriff's Department, TX
Police Officer Gregory Ivan Young,Gunfire,1997-09-18,Chicago Police Department, IL
Police Officer II Mark Arlin Stall,Gunfire,1997-09-20,Boise Police Department, ID
Patrol Officer Sean Laura,Struck by vehicle,1997-09-20,Markham Police Department, IL
Corporal David Walter Hathcock,Gunfire,1997-09-23,Cumberland County Sheriff's Office, NC
Sergeant Lloyd Edward Lowry,Gunfire,1997-09-23,North Carolina Highway Patrol, NC
Deputy Sheriff Donald Roy Stockburger,Gunfire,1997-09-23,Pecos County Sheriff's Department, TX
"Corporal Anderson Gordon, III",Gunfire,1997-09-24,Montgomery Police Department, AL
Deputy Sheriff Billy Wayne McIntosh,Gunfire,1997-10-01,Calcasieu Parish Sheriff's Office, LA
Sergeant Richard James Schuening,Explosion,1997-10-02,Oregon State Police, OR
Special Agent Larry E. Jordan,Automobile accident,1997-10-07,Norfolk Southern Railroad Police Department, RR
Agent Dixon Matos-Colon,Gunfire,1997-10-09,Puerto Rico Police Department, PR
Agent Geraldo A. Santiago-Vazquez,Gunfire,1997-10-09,Puerto Rico Police Department, PR
Captain Peter Chris McCurley,Gunfire,1997-10-10,Etowah County Sheriff's Office, AL
Police Officer John Richard Sowa,Gunfire,1997-10-12,Atlanta Police Department, GA
Correctional Officer James Dimanoff,Fall,1997-10-14,Texas Department of Criminal Justice, TX
Deputy Gilbert Glen Androy,Fall,1997-10-15,Fremont County Sheriff's Department, IA
Police Officer Emily Jewett Morgenroth,Vehicular assault,1997-10-17,Sacramento Police Department, CA
Detective Glenn Strange,Heart attack,1997-10-17,Maine State Police, ME
Deputy Brad A. Mabee,Automobile accident,1997-10-19,Polk County Sheriff's Department, MO
Patrolman Brian Ronald Kinsey,Gunfire,1997-10-22,Jackson Police Department, MS
Trooper Scott M. Gonzalez,Gunfire,1997-10-24,New Jersey State Police, NJ
Sergeant Anthony Millison,Fall,1997-10-27,Illinois State Police, IL
Deputy Sheriff Michael Lee Hoenig,Gunfire,1997-10-30,Los Angeles County Sheriff's Department, CA
Sergeant Erin Marie Hehl,Aircraft accident,1997-10-30,Illinois State Police, IL
Sheriff Joe Lynn Young,Vehicle pursuit,1997-10-30,Copiah County Sheriff's Office, MS
Chief of Police Wallace Lee Clinard,Automobile accident,1997-11-04,Cross Plains Police Department, TN
Deputy Sheriff Norman J. Dube,Heart attack,1997-11-07,Aroostook County Sheriff's Department, ME
"Police Officer Dewey Joe Sherbo, III",Vehicular assault,1997-11-09,Newark Police Department, NJ
Inspector Gregory A. Geoffrion,Struck by vehicle,1997-11-11,New Mexico Motor Transportation Police, NM
Police Officer Bruce VanderJagt,Gunfire,1997-11-12,Denver Police Department, CO
Police Officer Frank Balzano,Assault,1997-11-14,Chicago Police Department, IL
Sergeant Steven Donald Van Horn,Duty related illness,1997-11-16,Newport Beach Police Department, CA
Sergeant George Douglas Johnston,Automobile accident,1997-11-17,Louisiana State Police, LA
Deputy Sheriff Richard Scott Owen,Automobile accident,1997-11-18,Benton County Sheriff's Office, AR
"Patrolman William Douglas Glover, Jr.",Gunfire,1997-11-18,Ashtabula Police Department, OH
Sergeant Wilford Ray Lewis,Struck by vehicle,1997-11-20,Bradley Police Department, IL
Detective Sergeant Patrick A. King,Gunfire,1997-11-20,Long Branch Police Department, NJ
Sergeant Michael W. Muzychenko,Heart attack,1997-11-25,Lyndhurst Police Department, OH
Sergeant Travis H. Maki,Fall,1997-11-29,Elko County Sheriff's Office, NV
"Special Agent Troy Layne Pierce, Sr.",Automobile accident,1997-12-02,Georgia Bureau of Investigation, GA
Police Officer Richard R. Schott,Heart attack,1997-12-03,Chicago Police Department, IL
Chief Marshal James R. Kautz,Struck by vehicle,1997-12-04,Long Beach Police Department, IN
"Police Officer Thomas G. Smith, Jr.",Struck by vehicle,1997-12-05,St. Louis County Police Department, MO
Police Officer Daniel J. Pope,Gunfire,1997-12-05,Cincinnati Police Department, OH
Police Specialist Ronald D. Jeter,Gunfire,1997-12-05,Cincinnati Police Department, OH
Detective Michael E. Dowd,Gunfire,1997-12-06,Denver Police Department, CO
Police Officer Neil A. Forster,Struck by vehicle,1997-12-11,New York City Police Department, NY
Police Officer Leddie James Brown,Motorcycle accident,1997-12-11,Philadelphia Police Department, PA
